strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4
farthest_package_first,3,3,50,2626,2512,31311.59,2277.62,4104,9998,0.81,1053.91,1058.72,6120,0.0,0.0,0.0
farthest_package_first,4,3,50,2210,2134,27112.43,2663.82,3717,9473,0.85,1026.9,1015.9,6120,106.75,427.0,427.0
farthest_package_first,5,3,50,4592,4503,34604.66,2640.25,5598,10522,0.63,1600.19,1635.44,6240,8.9,89.0,22.25
farthest_package_first,6,3,50,3031,2940,36423.62,2172.82,5210,10992,0.7,1202.41,1224.26,6480,6.33,12.67,4.75
farthest_package_first,7,3,50,3241,3115,33568.83,2737.84,4775,10515,0.73,1248.14,1240.16,6360,117.5,156.67,117.5
farthest_package_first,8,3,50,2640,2505,28702.04,3099.96,3957,9796,0.83,1101.29,1079.82,6240,197.75,131.83,791.0
farthest_package_first,9,3,50,2698,2610,30185.9,2959.0,4073,10098,0.83,1105.57,1125.98,6360,128.33,128.33,192.5
farthest_package_first,0,3,100,10001,9901,80609.16,2646.48,15691,22708,0.48,4266.42,4198.06,12720,105.61,1267.33,475.25
farthest_package_first,1,3,100,8850,8756,81946.43,2508.64,15853,22755,0.48,3993.08,4035.3,12600,40.71,27.14,47.5
farthest_package_first,2,3,100,8813,8710,83117.52,2630.99,16029,23025,0.48,3877.02,3867.1,12720,174.5,349.0,130.88
farthest_package_first,3,3,100,7717,7644,75095.08,2031.3,14394,21655,0.5,3458.44,3579.48,12360,0.0,0.0,0.0
farthest_package_first,4,3,100,8765,8687,78344.77,2404.78,14991,22068,0.49,3752.82,3798.54,12360,75.11,225.33,338.0
farthest_package_first,5,3,100,9232,9108,83823.89,2856.36,15904,22505,0.47,3736.04,3813.13,12120,113.81,151.75,1821.0
farthest_package_first,6,3,100,9087,8996,82035.21,2495.48,15853,22526,0.47,3982.29,3677.56,12360,0.0,0.0,0.0
farthest_package_first,7,3,100,9687,9601,87062.09,2271.2,16661,23279,0.47,4202.49,4322.2,12480,8.06,8.6,32.25
farthest_package_first,8,3,100,9347,9231,85490.72,2586.48,16441,22966,0.47,4138.83,4106.91,12360,30.94,82.5,123.75
farthest_package_first,9,3,100,9498,9381,88363.4,2681.72,17187,23431,0.45,4115.63,4097.35,12480,32.65,70.75,106.12
farthest_package_first,0,3,200,13651,13494,113206.83,8368.53,25474,39069,0.51,5973.02,6047.97,25080,25.08,27.36,56.44
farthest_package_first,1,3,200,14230,14100,117865.55,8104.14,26374,39511,0.5,6008.09,6112.16,24960,73.91,94.44,283.33
farthest_package_first,2,3,200,13055,12934,111833.08,6165.35,25340,38171,0.5,5823.14,5650.09,24360,0.0,0.0,0.0
farthest_package_first,3,3,200,13976,13838,113711.51,6214.74,25890,39360,0.51,5832.43,5952.6,25320,266.0,390.13,365.75
farthest_package_first,4,3,200,15300,15174,119763.82,8180.84,26949,40446,0.5,6341.06,6500.44,25680,102.16,161.75,121.31
farthest_package_first,5,3,200,13827,13697,109300.75,8120.39,24605,38096,0.52,5638.31,5703.66,24600,25.29,118.0,59.0
farthest_package_first,6,3,200,14165,14033,116408.6,5948.92,26168,38980,0.5,5829.51,5990.47,24600,53.97,170.92,256.38
farthest_package_first,7,3,200,14246,14114,111124.11,5656.32,25182,38436,0.51,5928.99,5940.75,24720,38.31,51.08,76.62
farthest_package_first,8,3,200,15102,14964,111274.78,7880.54,25075,38573,0.51,5762.91,6061.73,24840,176.22,302.1,793.0
farthest_package_first,9,3,200,14062,13916,114212.77,8120.02,25570,38928,0.51,6022.95,6086.56,24840,4.42,7.0,10.5
closest_package_first,0,1,50,5725,5489,51737.79,2666.5,9068,12536,0.46,1415.45,1439.46,6120,81.5,163.0,163.0
closest_package_first,1,1,50,7316,7124,72293.4,2555.4,13198,16888,0.43,2157.18,2096.06,7920,95.0,211.11,1900.0
closest_package_first,2,1,50,8365,8157,68714.35,2669.4,12264,15724,0.43,2211.42,2263.98,7200,114.12,608.67,1826.0
closest_package_first,3,1,50,6222,6035,62617.33,2277.62,10676,14374,0.45,1823.38,1837.96,6600,101.67,203.33,610.0
closest_package_first,4,1,50,5436,5248,51410.8,2663.82,8684,12612,0.48,1392.67,1406.96,6240,49.25,197.0,197.0
closest_package_first,5,1,50,8940,8730,61939.03,2640.25,11048,14646,0.44,2270.64,2233.8,6960,19.8,198.0,49.5
closest_package_first,6,1,50,6778,6579,72981.18,2172.82,12939,16382,0.42,2184.2,2218.64,7320,57.33,114.67,43.0
closest_package_first,7,1,50,7546,7326,70297.26,2737.84,12584,16408,0.43,2053.5,1999.84,7680,52.5,70.0,52.5
closest_package_first,8,1,50,6945,6716,61323.96,3099.96,10927,14336,0.44,1876.11,2008.78,6720,52.75,35.17,211.0
closest_package_first,9,1,50,6313,6107,62338.44,2959.0,10761,14942,0.46,1869.98,1936.52,7200,25.5,25.5,38.25
closest_package_first,0,1,100,17433,17203,141024.71,2646.48,28651,32622,0.38,5004.54,4874.15,15120,109.69,1316.33,493.62
closest_package_first,1,1,100,14876,14667,140789.43,2508.64,28747,33078,0.38,5005.83,5031.3,15600,89.57,59.71,104.5
closest_package_first,2,1,100,16808,16583,143914.16,2630.99,29045,32508,0.37,5263.45,5039.74,14640,98.17,196.33,73.62
closest_package_first,3,1,100,13736,13547,132200.46,2031.3,26881,31276,0.39,4598.6,4523.87,14880,147.82,542.0,271.0
closest_package_first,4,1,100,14501,14300,129481.84,2404.78,25936,30002,0.39,4551.97,4663.01,13920,106.22,318.67,478.0
closest_package_first,5,1,100,15700,15452,135090.67,2856.36,27341,30676,0.37,4914.93,4751.26,13920,131.75,175.67,2108.0
closest_package_first,6,1,100,15886,15676,141264.61,2495.48,28421,32292,0.38,4956.19,5359.96,14760,80.27,196.22,220.75
closest_package_first,7,1,100,16231,16040,138580.06,2271.2,27800,31730,0.38,5119.57,5071.26,14520,116.5,124.27,466.0
closest_package_first,8,1,100,15326,15086,138119.64,2586.48,27531,30956,0.37,4795.03,4783.18,13800,103.0,274.67,412.0
closest_package_first,9,1,100,17805,17569,153502.18,2681.72,30915,34302,0.37,5714.87,5651.64,15240,129.15,279.83,419.75
closest_package_first,0,1,200,21788,21565,182586.91,8368.53,40845,52838,0.43,8804.1,8810.28,30240,80.47,87.79,181.06
