strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4
farthest_package_first_MPA,9,4,50,1929,1840,24563.3,2959.0,3161,8660,0.91,916.73,911.12,6240,76.0,0.0,211.0,0.67,0.33,0.5
farthest_package_first_MPA,0,4,100,11354,11256,57438.23,2646.48,13886,19108,0.46,3093.58,2772.35,13440,351.67,0.0,418.5,0.78,0.33,0.5
farthest_package_first_MPA,1,4,100,5008,4914,54163.35,2508.64,9678,18181,0.63,1916.48,1852.89,12840,248.43,140.43,81.0,0.71,0.38,0.5
farthest_package_first_MPA,2,4,100,6101,6001,51375.6,2630.99,8951,17666,0.66,1906.95,1803.84,12600,59.0,0.0,249.75,0.58,0.33,0.5
farthest_package_first_MPA,3,4,100,3200,3115,46807.39,2031.3,6117,17450,0.95,1662.27,1638.95,12840,205.55,0.0,186.33,0.68,0.33,0.5
farthest_package_first_MPA,4,4,100,6871,6794,49525.97,2404.78,9620,17720,0.61,1872.68,1907.85,12840,907.11,0.0,66.0,0.83,0.33,0.5
farthest_package_first_MPA,5,4,100,6391,6265,51093.74,2856.36,9248,17998,0.65,1808.77,1854.47,12960,604.0,172.0,-10,0.88,0.5,-10
farthest_package_first_MPA,6,4,100,9866,9762,54395.84,2495.48,12500,18212,0.49,2261.12,2009.07,12840,71.27,0.0,255.0,0.73,0.33,0.5
farthest_package_first_MPA,7,4,100,8133,8041,51345.5,2271.2,10549,17903,0.57,2058.98,1997.43,12840,1356.62,167.8,10.0,0.75,0.47,0.5
farthest_package_first_MPA,8,4,100,7829,7728,52953.32,2586.48,10506,18064,0.57,2097.97,1987.94,12840,651.75,712.0,35.0,0.81,0.5,0.5
farthest_package_first_MPA,9,4,100,7969,7847,57992.51,2681.72,12798,18927,0.49,2095.43,2073.43,13200,316.85,22.25,651.5,0.77,0.42,0.5
farthest_package_first_MPA,0,4,200,21696,21548,87400.44,6432.7,39553,33889,0.29,6664.4,6738.81,25320,218.06,107.36,166.25,0.61,0.45,0.44
