strategy,scenario_id,drone_capacity,no_customers,no_steps,drone_travel_distance,utilization
most_packages_first,22,2,200,6067,92934.5807927088,0.2565793088291852
most_packages_first,23,2,200,6149,99278.70675764448,0.27031495636146796
most_packages_first,24,2,200,6448,98867.35788218107,0.2566687344913151
most_packages_first,25,2,200,6275,99280.93946783713,0.2650730411686587
most_packages_first,26,2,200,5905,91970.7906889272,0.26082416031611627
most_packages_first,27,2,200,6068,97227.89363586862,0.26845748187211604
most_packages_first,28,2,200,6038,97641.6863723321,0.2706746163188694
most_packages_first,29,2,200,5967,97792.6093247167,0.2745935981230099
most_packages_first,30,2,500,13288,144654.91790938054,0.18289684928757777
most_packages_first,31,2,500,13431,149628.37144925134,0.18707964162509616
most_packages_first,32,2,500,13974,154271.70701802685,0.1853919183245074
most_packages_first,33,2,500,13989,150427.30044258194,0.1805585340863059
most_packages_first,34,2,500,14194,150555.09419157635,0.17824432858954486
most_packages_first,35,2,500,13930,147159.9529426871,0.17755443886097153
most_packages_first,36,2,500,13496,150963.37121837618,0.1879198774945663
most_packages_first,37,2,500,13593,145513.52353848345,0.179639029892837
most_packages_first,38,2,500,13769,148152.25707031612,0.1807926017382042
most_packages_first,39,2,500,13694,150749.56047560083,0.18493500803271506
most_packages_first,0,3,50,2173,28909.11388253117,0.22334713913176868
most_packages_first,1,3,50,1954,28203.522195669342,0.2418116683725691
most_packages_first,2,3,50,1884,28957.84214758718,0.25743099787685775
most_packages_first,3,3,50,1686,35145.64731089311,0.34905100830367736
most_packages_first,4,3,50,1771,31560.044120280516,0.2982307547524939
most_packages_first,5,3,50,1981,31213.325095009237,0.26417634191485784
most_packages_first,6,3,50,1703,30053.73277272193,0.2958504599725974
most_packages_first,7,3,50,1725,30532.30994257825,0.296231884057971
most_packages_first,8,3,50,1649,25357.268452035292,0.25793410147564183
most_packages_first,9,3,50,2137,28419.558235239205,0.22297613476836686
most_packages_first,10,3,100,3416,52236.696726430535,0.2565866510538642
most_packages_first,11,3,100,3299,55133.06508422674,0.28033747600282916
most_packages_first,12,3,100,3278,57465.654213379894,0.2937258490949766
most_packages_first,13,3,100,3371,52901.00984478863,0.2634233165232869
most_packages_first,14,3,100,3445,53867.55692451952,0.2622641509433962
most_packages_first,15,3,100,3496,57732.33289093051,0.277126239511823
most_packages_first,16,3,100,3790,53065.259784917005,0.23447669305189095
most_packages_first,17,3,100,3358,56531.86958945015,0.28221163390907283
most_packages_first,18,3,100,3251,52331.24905216424,0.2700194811852763
most_packages_first,19,3,100,3463,56006.09949269868,0.2712003080180961
most_packages_first,20,3,200,6127,75508.97029298525,0.20714324574288667
most_packages_first,21,3,200,6515,73624.37709111418,0.18992069583013557
most_packages_first,22,3,200,5991,71793.40137579502,0.2014688699716241
most_packages_first,23,3,200,5943,75333.56747336198,0.21288350440293904
most_packages_first,24,3,200,6000,75266.8604835528,0.21091666666666667
most_packages_first,25,3,200,5730,77140.60114735825,0.2261198371146015
most_packages_first,26,3,200,5686,70629.74747655519,0.20875835385156524
most_packages_first,27,3,200,5930,72664.17327281574,0.20615514333895446
most_packages_first,28,3,200,5761,74778.19982778908,0.21798877509691605
most_packages_first,29,3,200,5630,73398.26235199359,0.21950858496151568
most_packages_first,30,3,500,12894,111733.5835097261,0.14648932319942093
most_packages_first,31,3,500,12864,115079.41074246817,0.15121009535655058
most_packages_first,32,3,500,13426,118482.26784896474,0.1490515914394955
most_packages_first,33,3,500,13425,113980.9218999603,0.14350093109869647
most_packages_first,34,3,500,13918,114547.72767390356,0.13920821957177756
most_packages_first,35,3,500,13336,112758.98531899115,0.14310887822435514
most_packages_first,36,3,500,13489,115692.12469985119,0.14496997553562163
most_packages_first,37,3,500,13026,110475.67187571983,0.14316239316239315
most_packages_first,38,3,500,12714,112829.08978370916,0.14997902574589692
most_packages_first,39,3,500,12970,115611.72973559261,0.15078386019018247
farthest_package_first_MPA,0,1,50,2605,59670.05553952978,0.382213691618682
farthest_package_first_MPA,1,1,50,2721,59463.87562301151,0.36432684062232024
farthest_package_first_MPA,2,1,50,2298,64210.53960012714,0.4653321729039745
farthest_package_first_MPA,3,1,50,2438,71287.54047598706,0.48742138364779874
farthest_package_first_MPA,4,1,50,2448,67863.67683375586,0.4614651416122004
farthest_package_first_MPA,5,1,50,2895,67456.26385362339,0.38837075417386296
farthest_package_first_MPA,6,1,50,2255,62140.43265530435,0.45964523281596453
farthest_package_first_MPA,7,1,50,2622,62153.770948021694,0.3946097126875159
farthest_package_first_MPA,8,1,50,2165,54045.58135760235,0.41585835257890685
farthest_package_first_MPA,9,1,50,2428,57147.225786450246,0.39195496979681493
farthest_package_first_MPA,10,1,100,4345,120388.57543467676,0.4619102416570771
farthest_package_first_MPA,11,1,100,4681,126111.38358346648,0.4493341878515987
farthest_package_first_MPA,12,1,100,4717,134005.44872498413,0.47293477492756697
farthest_package_first_MPA,13,1,100,4555,120464.90350901274,0.44083424807903404
farthest_package_first_MPA,14,1,100,4613,122579.23744905321,0.44280656116771444
farthest_package_first_MPA,15,1,100,4991,135706.19794826448,0.4535831162759634
farthest_package_first_MPA,16,1,100,5100,122709.30424534678,0.400718954248366
farthest_package_first_MPA,17,1,100,4749,131714.45090875519,0.4623078542851127
farthest_package_first_MPA,18,1,100,4843,123131.06340908358,0.4239796269529906
farthest_package_first_MPA,19,1,100,4830,129128.30858040208,0.44547964113181504
farthest_package_first_MPA,20,1,200,8281,172985.5787746683,0.34812623274161736
farthest_package_first_MPA,21,1,200,8673,170386.1092716515,0.3274337983781083
farthest_package_first_MPA,22,1,200,7660,161090.77579458713,0.35060922541340295
farthest_package_first_MPA,23,1,200,7631,173242.75343297017,0.37830341152317304
farthest_package_first_MPA,24,1,200,8337,174277.424370179,0.34822678021670467
farthest_package_first_MPA,25,1,200,7787,173294.03313518013,0.3710029536406832
farthest_package_first_MPA,26,1,200,7509,161939.0218979809,0.35936875749101077
farthest_package_first_MPA,27,1,200,7625,168657.47178240833,0.36878688524590164
farthest_package_first_MPA,28,1,200,7484,170834.4993977207,0.3800552289328345
farthest_package_first_MPA,29,1,200,7597,168616.9898867912,0.370233864244658
farthest_package_first_MPA,30,1,500,15376,249809.2860541627,0.27082249392993407
farthest_package_first_MPA,31,1,500,15724,258593.00248744394,0.2740502840668193
farthest_package_first_MPA,32,1,500,16777,270869.47547191894,0.26922771254296557
farthest_package_first_MPA,33,1,500,16692,264298.33183982095,0.2637790558351306
farthest_package_first_MPA,34,1,500,17045,260785.86916839198,0.255109025129559
farthest_package_first_MPA,35,1,500,16366,254266.97505152028,0.2590940567843904
farthest_package_first_MPA,36,1,500,16288,261236.3388218339,0.26734405697445973
farthest_package_first_MPA,37,1,500,16286,251515.23924318427,0.25715338327397763
farthest_package_first_MPA,38,1,500,16327,257010.16496795224,0.2623568322410731
farthest_package_first_MPA,39,1,500,16334,262965.35229647823,0.2682849679604914
farthest_package_first_MPA,0,2,50,2227,36409.52235773036,0.2736865738661877
farthest_package_first_MPA,1,2,50,2263,37555.025983209096,0.2774340845485344
farthest_package_first_MPA,2,2,50,1958,42198.56413263905,0.3602315287708546
farthest_package_first_MPA,3,2,50,1985,44661.58115935509,0.3760705289672544
