strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time
closest_package_first,0,3,200,9586,9388,114314.77,5999.93,18323,35976,0.65,3770.69,3870.86
closest_package_first,1,3,200,10011,9816,114787.76,6046.0,18311,35546,0.65,3775.22,3881.23
closest_package_first,2,3,200,11300,11106,120622.09,7930.82,18765,36512,0.65,4035.91,4076.74
closest_package_first,3,3,200,9903,9706,116201.34,6249.16,18403,35814,0.65,3818.55,3877.62
closest_package_first,4,3,200,9370,9176,110405.24,7774.38,17670,35588,0.67,3726.01,3817.84
closest_package_first,5,3,200,9927,9736,113264.44,8122.67,17906,35414,0.66,3752.09,3812.07
closest_package_first,6,3,200,10707,10518,124412.02,7538.59,19292,37116,0.64,3866.7,4158.98
closest_package_first,7,3,200,9841,9643,110100.7,8007.92,17709,35554,0.67,3899.43,3898.52
closest_package_first,8,3,200,10227,10031,121582.83,6273.36,19149,36475,0.63,4050.8,4041.62
closest_package_first,9,3,200,11318,11120,113785.16,6305.84,18152,35323,0.65,3879.56,3903.97
closest_package_first,0,3,500,19932,19784,176519.84,19117.63,35880,78931,0.73,8634.44,8749.09
closest_package_first,1,3,500,19910,19771,182524.38,13407.91,36998,79384,0.72,8471.52,8819.12
closest_package_first,2,3,500,19788,19648,181678.52,15309.31,36569,78973,0.72,8526.59,8666.03
closest_package_first,3,3,500,19895,19750,180948.52,17744.26,36201,78881,0.73,8624.2,8766.33
closest_package_first,4,3,500,20937,20762,180202.8,16885.28,36397,79063,0.72,8734.78,8900.12
closest_package_first,5,3,500,20231,20015,178295.97,12725.28,36494,78594,0.72,8590.41,8566.9
closest_package_first,6,3,500,19940,19876,176093.69,15682.59,36015,78636,0.73,8337.65,8683.82
closest_package_first,7,3,500,20362,20149,179966.24,18315.05,36142,79141,0.73,8546.22,8803.79
closest_package_first,8,3,500,21377,21159,179480.85,15663.95,36383,78739,0.72,8708.09,8804.36
closest_package_first,9,3,500,19137,18995,178371.08,13478.53,36466,78493,0.72,8652.76,8712.59
most_packages_first,0,1,50,4862,4698,66252.5,2233.95,7449,13292,0.59,1730.68,1938.36
most_packages_first,1,1,50,4322,4102,55925.49,3133.03,6516,11784,0.6,1526.13,1587.18
most_packages_first,2,1,50,4255,4109,65663.17,2658.79,7363,13230,0.6,1708.27,1913.26
most_packages_first,3,1,50,4448,4255,61247.71,3200.72,6973,12906,0.62,1699.74,1937.7
most_packages_first,4,1,50,4227,4085,64734.47,2041.44,7435,13494,0.6,1607.76,1897.16
most_packages_first,5,1,50,5618,5441,59710.91,2969.85,7101,13108,0.62,1783.03,2139.64
most_packages_first,6,1,50,4257,4010,53330.76,3503.56,6259,11646,0.62,1434.64,1520.72
most_packages_first,7,1,50,4094,3943,59409.24,2743.48,6747,12486,0.62,1599.47,1759.42
most_packages_first,8,1,50,4144,3985,61207.12,2663.03,6870,12542,0.61,1567.44,1692.84
most_packages_first,9,1,50,3906,3746,63324.31,2542.88,7015,12880,0.61,1611.6,1772.76
most_packages_first,0,1,100,10598,10447,129044.15,2819.58,16460,26834,0.54,3888.11,4549.09
most_packages_first,1,1,100,9756,9575,128806.1,2454.88,16463,25852,0.52,3861.81,4209.37
most_packages_first,2,1,100,9164,9001,123540.97,2296.9,15923,25692,0.54,3679.01,4120.49
most_packages_first,3,1,100,9937,9767,131449.62,2233.15,16685,26484,0.53,3969.83,4446.21
most_packages_first,4,1,100,8206,8002,120311.36,2528.52,15501,25604,0.55,3618.46,4125.05
most_packages_first,5,1,100,9193,9036,120950.98,2266.43,15557,25538,0.55,3700.33,4181.37
most_packages_first,6,1,100,8883,8726,123031.25,2549.5,15544,25504,0.55,3664.67,4067.78
most_packages_first,7,1,100,10613,10439,136409.72,2594.73,17507,28034,0.53,4037.89,4885.85
most_packages_first,8,1,100,9371,9208,126907.09,2372.76,16348,26244,0.54,3765.25,4292.39
most_packages_first,9,1,100,9017,8834,136666.06,2448.34,16991,26880,0.53,3978.46,4416.09
most_packages_first,0,1,200,12486,12294,160884.14,5999.93,23979,42974,0.6,5339.11,6033.19
most_packages_first,1,1,200,12722,12532,163551.29,6046.0,23933,42998,0.6,5485.18,6143.4
most_packages_first,2,1,200,15080,14897,185397.02,7930.82,26593,46648,0.58,5901.4,6963.65
most_packages_first,3,1,200,12454,12261,165905.68,6249.16,24020,42652,0.59,5616.43,6149.99
most_packages_first,4,1,200,12637,12468,160651.56,7774.38,23485,42706,0.61,5448.34,6102.15
most_packages_first,5,1,200,12773,12589,163493.74,8122.67,23518,41946,0.59,5520.81,5934.87
most_packages_first,6,1,200,14325,14142,176138.37,7538.59,25377,44872,0.59,5901.94,6757.72
most_packages_first,7,1,200,13091,12908,167396.41,8007.92,24386,43980,0.6,5631.34,6447.89
most_packages_first,8,1,200,13900,13728,173948.71,6273.36,25261,44540,0.59,5767.94,6575.45
most_packages_first,9,1,200,14838,14651,164007.92,6305.84,23764,42332,0.59,5790.64,6311.8
most_packages_first,0,1,500,25425,25291,263765.25,19117.63,47087,94708,0.67,10736.04,12324.98
most_packages_first,1,1,500,25009,24872,257235.88,13407.91,46511,92826,0.67,10802.21,12184.89
most_packages_first,2,1,500,23830,23704,256795.46,15309.31,45200,89850,0.66,10671.88,11504.29
most_packages_first,3,1,500,24783,24642,256433.98,17744.26,45298,90974,0.67,10763.68,11818.52
most_packages_first,4,1,500,26201,26027,264639.14,16885.28,47329,94320,0.66,10894.81,12420.09
most_packages_first,5,1,500,25429,25219,252715.82,12725.28,45988,91772,0.67,10288.02,11502.0
