strategy,scenario_id,drone_capacity,no_customers,total_time,package_delivery_time,drone_travel_distance,truck_travel_distance,total_cluster_time,total_active_time,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4,no_preventions
farthest_package_first_MPA,2,3,500,14564,14397,121818.62,15682.28,25494,73258,0.96,6965.68,6880.22,61440,0.0,0.0,365.5,0.5,0.33,0.5,17
farthest_package_first_MPA,3,3,500,13646,13471,115208.49,16075.43,24817,71889,0.97,6898.23,6798.32,60720,0.0,0.0,323.5,0.5,0.33,0.5,1
farthest_package_first_MPA,4,3,500,13932,13751,118549.75,14443.05,25549,72938,0.95,6743.03,6775.56,61440,0.0,0.0,348.58,0.5,0.33,0.5,8
farthest_package_first_MPA,5,3,500,14204,14101,116985.57,16431.82,25237,72305,0.96,6811.78,6849.38,60960,0.0,0.0,302.25,0.5,0.33,0.5,2
farthest_package_first_MPA,6,3,500,13869,13762,115125.55,16185.93,25116,72219,0.96,6890.55,6861.13,61080,0.0,0.0,237.22,0.5,0.33,0.5,1
farthest_package_first_MPA,7,3,500,14144,13973,122013.73,14908.34,25110,72671,0.96,6873.1,6791.82,60840,0.0,0.0,219.71,0.5,0.33,0.5,17
farthest_package_first_MPA,8,3,500,14217,14110,121657.96,16151.91,25622,73373,0.95,6896.05,6919.69,61560,0.0,0.0,301.23,0.5,0.33,0.5,2
farthest_package_first_MPA,9,3,500,14050,13887,117727.41,15418.85,25215,72266,0.96,6899.53,6859.54,60840,0.0,0.0,617.86,0.5,0.33,0.5,6
farthest_package_first_MPA,0,4,50,1843,1752,22652.56,2666.5,2994,8237,0.92,896.86,879.74,6000,0.0,-10,-10,0.5,-10,-10,0
farthest_package_first_MPA,1,4,50,1747,1682,25600.17,2555.4,3017,8524,0.94,893.42,905.94,6000,0.0,0.0,-10,0.5,0.33,-10,0
farthest_package_first_MPA,2,4,50,1907,1827,25372.95,2669.4,3040,8504,0.93,925.23,889.5,6000,0.0,0.0,-10,0.5,0.33,-10,0
farthest_package_first_MPA,3,4,50,1783,1669,24937.94,2277.62,3033,8463,0.93,881.07,862.34,6000,0.0,0.0,-10,0.5,0.33,-10,0
farthest_package_first_MPA,4,4,50,1835,1735,22511.67,2663.82,3071,8217,0.89,884.35,869.74,6000,0.0,-10,-10,0.5,-10,-10,0
farthest_package_first_MPA,5,4,50,2324,2214,25763.69,2640.25,3353,8545,0.85,1000.41,996.62,6000,0.0,-10,0.0,0.5,-10,0.25,0
farthest_package_first_MPA,6,4,50,1765,1675,26124.37,2172.82,3030,8580,0.94,883.41,888.36,6000,0.0,0.0,0.0,0.5,0.33,0.25,0
