strategy,scenario_id,drone_capacity,no_customers,total_time,package_delivery_time,drone_travel_distance,truck_travel_distance,total_cluster_time,total_active_time,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4,no_preventions
farthest_package_first_MPA,1,3,500,16870,16793,165106.63,13444.86,30628,77164,0.84,7909.53,8079.27,61080,0.0,0.0,336.22,0.5,0.33,0.5,304
farthest_package_first_MPA,2,3,500,18407,18300,172107.39,17049.17,31481,78192,0.83,8523.82,8379.67,61440,0.0,0.0,104.33,0.5,0.33,0.5,320
farthest_package_first_MPA,3,3,500,16363,16258,162022.38,14070.88,30597,76502,0.83,7893.6,8041.3,60720,0.0,0.0,119.17,0.5,0.33,0.5,297
farthest_package_first_MPA,4,3,500,16365,16261,168593.68,12336.88,31158,77872,0.83,8137.77,8202.67,61440,0.0,0.0,276.58,0.5,0.33,0.5,315
farthest_package_first_MPA,5,3,500,16563,16482,166427.41,14456.95,31171,77177,0.83,8059.12,8199.05,60960,0.0,0.0,261.25,0.5,0.33,0.5,303
farthest_package_first_MPA,6,3,500,16673,16648,161706.19,14499.79,30681,76802,0.83,8248.26,8146.49,61080,0.0,0.0,198.78,0.5,0.33,0.5,309
farthest_package_first_MPA,7,3,500,16828,16656,174459.48,16267.51,31374,77831,0.83,8285.69,8245.62,60840,0.0,0.0,97.57,0.5,0.33,0.5,328
farthest_package_first_MPA,8,3,500,16579,16552,170280.73,14007.03,31378,78142,0.83,8236.55,8231.97,61560,0.0,0.0,155.08,0.5,0.33,0.5,315
farthest_package_first_MPA,9,3,500,18386,18209,169108.39,14348.73,31329,77307,0.82,8368.24,8266.62,60840,0.0,0.0,177.29,0.5,0.33,0.5,319
farthest_package_first_MPA,0,4,50,2321,2237,27752.34,2661.76,3473,8739,0.84,1010.08,985.52,6000,0.0,-10,-10,0.5,-10,-10,13
farthest_package_first_MPA,1,4,50,2198,2128,30582.09,2555.4,3655,9016,0.82,1028.64,1054.1,6000,0.0,0.0,-10,0.5,0.33,-10,21
farthest_package_first_MPA,2,4,50,2626,2546,32756.37,2669.4,3739,9236,0.82,1077.2,1040.4,6000,0.0,0.0,-10,0.5,0.33,-10,19
farthest_package_first_MPA,3,4,50,2314,2214,31531.68,2277.62,3835,9116,0.79,1017.91,1006.06,6000,0.0,0.0,-10,0.5,0.33,-10,23
farthest_package_first_MPA,4,4,50,2048,1975,27044.68,2663.82,3449,8662,0.84,998.38,977.32,6000,0.0,-10,-10,0.5,-10,-10,20
farthest_package_first_MPA,5,4,50,2803,2715,30211.81,2640.25,3832,8986,0.78,1184.28,1170.82,6000,0.0,-10,0.0,0.5,-10,0.25,17
farthest_package_first_MPA,6,4,50,2328,2232,33067.11,2200.69,3934,9265,0.79,1106.8,1034.54,6000,0.0,0.0,0.0,0.5,0.33,0.25,23
farthest_package_first_MPA,7,4,50,2453,2335,33118.7,2737.84,3824,9271,0.81,1115.25,1083.88,6000,0.0,0.0,0.0,0.5,0.33,0.25,20
farthest_package_first_MPA,8,4,50,2502,2397,30958.93,3099.96,3712,9057,0.81,1085.93,1047.48,6000,0.0,0.0,-10,0.5,0.33,-10,18
farthest_package_first_MPA,9,4,50,2348,2259,30706.44,2959.0,3741,9029,0.8,1033.85,1028.84,6000,0.0,0.0,0.0,0.5,0.33,0.25,21
farthest_package_first_MPA,0,4,100,5471,5374,83192.62,2646.48,9195,20235,0.73,2656.67,2631.77,12000,0.0,0.0,0.0,0.5,0.33,0.25,71
farthest_package_first_MPA,1,4,100,4949,4859,76052.42,2508.64,8761,19516,0.74,2439.12,2425.52,12000,0.0,0.0,0.0,0.5,0.33,0.25,65
farthest_package_first_MPA,2,4,100,4830,4748,80395.18,2630.99,9062,19957,0.73,2391.71,2411.47,12000,0.0,0.0,0.0,0.5,0.33,0.25,62
