strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4
farthest_package_first,1,1,500,18333,18235,282527.17,15439.21,34250,100766,0.98,9188.61,9022.74,73080,24.29,46.64,39.53,120,33,36
farthest_package_first,2,1,500,19388,19224,295711.13,19602.81,35652,104062,0.97,9745.47,9653.22,75120,31.93,31.86,43.25,104,57,48
farthest_package_first,3,1,500,18235,18060,275217.52,14056.26,33009,97122,0.98,8843.99,8757.7,70200,16.54,33.67,41.21,74,45,24
farthest_package_first,4,1,500,19152,19058,288154.92,17945.79,35144,103082,0.98,9435.27,9518.65,74880,28.98,36.42,43.0,84,69,48
farthest_package_first,5,1,500,18201,18028,280434.11,15654.77,33711,99086,0.98,9061.36,9098.3,71640,32.92,40.28,43.31,66,60,32
farthest_package_first,6,1,500,18948,18840,279465.86,15162.82,34345,101210,0.98,9294.41,9399.59,73920,27.59,40.98,38.47,94,63,36
farthest_package_first,7,1,500,19068,18884,299165.06,17981.04,35759,104530,0.97,9622.43,9544.52,75240,31.59,38.53,44.25,92,90,28
farthest_package_first,8,1,500,19235,19059,296996.25,16965.46,35324,103852,0.98,9491.96,9595.73,74760,23.33,40.67,42.0,96,54,52
farthest_package_first,9,1,500,20951,20791,286284.17,14977.09,34736,101838,0.98,9429.81,9501.9,73800,29.75,38.32,41.71,84,78,28
farthest_package_first,0,2,50,1867,1772,32154.18,2666.5,3139,9181,0.97,991.61,976.96,6000,0.0,-10,-10,1,-10,-10
farthest_package_first,1,2,50,2204,2119,42339.68,2555.4,3927,11265,0.96,1156.8,1220.62,7080,60.55,25.44,-10,16,6,-10
farthest_package_first,2,2,50,2302,2222,40183.91,2669.4,3680,10574,0.96,1095.43,1084.06,6600,34.62,33.0,-10,12,2,-10
farthest_package_first,3,2,50,1994,1888,38135.68,2277.62,3491,10137,0.97,1050.09,1049.34,6360,139.5,1.67,-10,5,2,-10
farthest_package_first,4,2,50,1825,1752,31430.98,2663.82,3122,9223,0.98,981.19,972.96,6120,17.5,-10,-10,3,-10,-10
farthest_package_first,5,2,50,2561,2473,37759.96,2640.25,3574,10333,0.96,1198.09,1208.66,6600,128.9,-10,65.25,8,-10,3
farthest_package_first,6,2,50,2106,2006,43012.67,2172.82,3884,10859,0.93,1109.8,1107.02,6600,154.83,29.0,13.62,5,2,4
farthest_package_first,7,2,50,2210,2098,41212.27,2737.84,3768,10796,0.96,1136.62,1128.56,6720,59.62,78.5,5.62,6,4,4
farthest_package_first,8,2,50,2253,2127,37768.02,3099.96,3527,10095,0.95,1106.5,1060.3,6360,53.5,36.17,-10,3,4,-10
farthest_package_first,9,2,50,2154,2065,37205.03,2959.0,3601,10273,0.95,1078.23,1074.1,6600,53.83,7.33,115.0,4,4,3
farthest_package_first,0,2,100,4615,4529,80630.67,2646.48,7481,22012,0.98,2253.68,2240.89,14040,82.17,245.33,99.0,30,2,6
farthest_package_first,1,2,100,3923,3829,80865.01,2508.64,7490,21904,0.97,2145.49,2164.53,13920,40.79,76.86,100.0,11,14,8
farthest_package_first,2,2,100,4076,3976,82530.87,2630.99,7396,21366,0.96,2095.8,2086.77,13200,61.5,37.17,47.75,9,4,9
farthest_package_first,3,2,100,3739,3653,75202.36,2031.3,7091,20872,0.98,2020.48,2065.58,13440,90.55,40.83,114.58,16,4,8
farthest_package_first,4,2,100,3921,3844,74339.85,2404.78,6916,20184,0.97,2013.14,2015.4,12840,108.83,1.5,57.75,13,4,2
farthest_package_first,5,2,100,3934,3816,79123.9,2856.36,7043,20662,0.98,2012.83,2052.36,12840,105.44,22.25,-10,11,8,-10
farthest_package_first,6,2,100,3992,3893,81129.65,2495.48,7275,21347,0.98,2131.45,2030.93,13320,55.36,61.56,57.0,16,6,5
farthest_package_first,7,2,100,4357,4271,80620.88,2271.2,7292,21293,0.97,2090.86,2132.79,13320,141.75,111.53,282.5,11,11,3
farthest_package_first,8,2,100,4129,4028,82763.07,2586.48,7318,21147,0.96,2083.77,2085.18,12960,104.06,108.0,4.5,13,4,2
farthest_package_first,9,2,100,4300,4188,87770.12,2681.72,7664,22002,0.96,2170.53,2159.9,13320,89.15,29.75,17.62,18,8,4
